,Article
10,Şaşırdığıma şaşırıyorum.
11,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
12,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
13,Mevcut düzende büyükanneler sağlıkları müsaade etmemesine rağmen torunlarına bakmak durumundayken diğer yanda anneler herhangi bir destek göremediğinden çocuk bakımı için onlara muhtaç durumdalar. Çalışan kadınlara kreş...
14,Yazar: Seda Akçay
15,"Artık bir şeylerin konuşulabilir olmasından ya da konuşulan şeylerin duyulmasından oldukça memnunum. Geçtiğimiz bayramda diğer diğer bayramlarda olduğu gibi pek çok insan köyüne gitti. Gitmekle de kalmadılar, Instagram’ı dağ bayır fotoğraflarıyla yeşile boyadılar. Biliyorum ki benim gibi köye gitmekten hatta köyün kendisinden sırf köy olduğu için bile hoşlanmayan kadınlar var. Kadınlar diyorum çünkü adamlar kendilerine karışan kimse olmadığı için gittikleri her yeri severler."
16,"Köyü anlatmaya tam olarak neresinden başlasam bilmiyorum. Çünkü neresinden tutsam elimde kalır. Gitmeden haftalar önce evler dip köşe temizlenir paklanır, çantalar hazırlanır. Allah muhafaza birinin karnı acıkırsa durmak zorunda kalınmasın diye yolluklar yapılır, molalar sadece namaz vakitlerinde verilir. Bütün bunların fikri hazırlığı kıştan başlamıştır zaten. Fiziksel hazırlığı ise genellikle iki üç hafta sürer. Valizler, çantalar, yolluklar… köy yolu bir günden fazla sürüyorsa yastık ve battaniyeler de alınır. Sonra bir bakmışsınız sadece şoför koltuğunda oturacak kişi için yer var, diğerlerine pek yer kalmamıştır."
17,"Bir tane dikili ağacın olmadığı sonsuza uzanan bak bak bitmeyen bozkırlar… Burada bir parantez açmak istiyorum. Böyle olmasa bile Mihriban dinleyerek o yolu gitmenin kişinin ruh sağlığına iyi geldiğine kimse inandıramaz beni. Artık şu bozkır güzellemelerine son verelim, lütfen. "
18,"Ne kadar sıcak olursa olsun, büyük günahmışçasına klimayı katiyen çalıştırmayan babalar, genelde başı kapalı tıkış tıkış seyahat eden kadınlar, kadınlarımız. Klima erkekleri çarpar. Camdan rüzgâr gelecek olsa üşürler. Ya erkeklerimiz hasta olursa… Aman Allah korusun! Terleme ve bunalma hakkının bile verilmediği kadınlar."
19,Aynı pozisyonda oturmaktan uyuşan ayaklar.
20,"Müzik dinlemenin bile yetmediği, saatlerin durduğu, zamanın akmadığı, sapsarı bozkırın ortasında hiçliğe giden bir araba. "
21,"Kimsenin kimseyle anlaşamadığı o yolculuklarda, adamların tek derdi köye erken gitmektir bir de. Ve sırf bu sebeple kadınlara yolda bir bardak çay içme fırsatı bile verilmez. Namaz için mola verildiğinde kadınların tuvalet ihtiyacının giderilmesine bile izin vermişler, büyük lütuf."
22,"Benim çevremde, köyde doğup büyümüş kadınlar bile köye gitmeyi pek sevmezler. Bunun sebebini anlamak pek zor olmasa gerek. Ancak yakın zamanlarda köyü seven kadınlar ile de karşılaşmaya başladım. Bu duruma dair kendimce bir argüman geliştirdim: Köyü sevmek, aile büyüklerinin vefat etmiş olmasıyla doğrudan ilişkilidir."
23,"Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran, direktifler veren birinin olmaması köyü bir nebze cazip kılabilir. Nihayetinde kafanıza eserse iş yaparsınız esmezse piknik… Diğer türlüsü heriflerin dağ bayır dolanıp piknik yaptığı veya kahvede pineklediği, kadınların ise yaşlıların işlerini görmeye ve hizmet etmeye gittiği yerdir köy. Zannediyorum bu gerçeklerden rahatsızlık duymayan tek bir kadın yoktur. Yani inşallah."
24,"En ufak bir gezme, ayağınızın toprağa basma, o kadar gitmişken biraz yeşillik görme hevesiniz göze batar. “Bunlar yaşlı görmeye değil, gezmeye gelmişler,” şeklinde konuşulur, köyün billboardlarında adınız neon harflerle geçer. Benim kastettiğim Victoria döneminden kalma yaşlılar birer birer vefat ettiği için köy popüler bir mekân haline geldi. Şu aralar 50’li yaşlarını yaşayanlar yazlık niyetine köyde ev yapmaya girişen kuşaktır. Köy müteahhitleridir onlar. Ah o neneler bir bilseler zamanında sabah ezanı okunmadan tarlaya diktikleri ve üç ay çalıştırıp bir bardak taze süt içirmedikleri gelinlerinin şimdilerde köyü yazlık niyetiyle kullandığını…"
25,"O neslin hafızasında köy o kadar da sevimli bir yer değil, hatta hiç sevimli bir yer değil. Bu yüzden bayram vesilesiyle kendi hür iradesine dayanarak köye giden ve orada mutlu olan kadınların düşüncelerinin altında her zaman bir şey arıyorum. Çünkü bir insan niye sırf piknik yapmak için veya yeşili görmek için kilometrelerce uzaklıktaki bir köye gitmeyi tercih eder? Biz de yeşili seviyoruz ama köye kaçacak kadar değil, Belgrad Ormanı’na kaçacak kadar…Bir Alman atasözü der ki: “Kent havası insanı özgür kılar.” (Stadtluft macht manfrei). Son zamanlarda duyduğum en haklı atasözü olabilir. Biz kadınlar, asgari düzeyde bile olsa kentlerin bize sağladığı özgürlükten, hareketlilikten ve nispeten özel alanımızın ihlal edilmemesine razıyız."
26,"Tüm bunlara rağmen geleceğe dair umutluyum. Kadınların, adamların aksine köye gitmeye bayılmadığını, aksine kadınlar için bunun büyük bir yük olduğunu, yıllar yılı o gidişlere dönüşlere mecburiyetten katlandıklarını biliyoruz. Daha da iyisi artık bunları konuşabiliyoruz. Mecbur olduğumuz için değil, gerçekten gitmek istediğimiz yerlere gittiğimiz ve sonunda istediğimiz kadar vakit geçirip eve döndüğümüz günler geldi nihayet."
27,"Önemli not: Bütün bu hikâye arabada küçük çocukların olmadığı düşünülerek kurgulanmıştır. Küçük çocukların durumu hayal bile edilememiş, Allah’a sığınılmıştır."
28,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
29,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
30,Mevcut düzende büyükanneler sağlıkları müsaade etmemesine rağmen torunlarına bakmak durumundayken diğer yanda anneler herhangi bir destek göremediğinden çocuk bakımı için onlara muhtaç durumdalar. Çalışan kadınlara kreş...
31,Konuk Yazar: Zeliha
32,Görsel: The Others filminden Nicole Kidman
33,"Daha önce Reçel Blog’da yayımlanan yazıları okuyup ne
kadar hırslandıysam, nasıl isyanla dolduysam oturup tüm hayatımı özetleyen bir
yazı yazmıştım. Tüm yaşadıklarımı, tüm isyanımı tek bir yazı darbesi ile dökmek
istemiştim. Bu topraklarda bir kadın olarak hele ki başörtülü
bir kadın olarak yaşadıklarımı yere göğe sığdıramayıp nereden başlayacağımı
nerede bitireceğimi bilememiş yazmış da yazmıştım."
34,"Ülkemizin bir gerçeği
olan Kuran kurslarında olanlara değinerek başlamak istiyorum. Küçüklüğü Kuran kurslarında ve sohbet ortamlarında
geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay
olmadığını söylemeliyim. Şimdi bazı şartların değiştiğini biliyorum elbette. Bu
tarz oluşumların tek tek bireye önem vermek yerine dev bir birey öğütücü
değirmene dönüştüğünü küçük yaşlarımda acı ile tespit etmiştim. Kuran
sevdalısı, hafız olmak isteyen küçük ve hevesli bir kızı nasıl söndürdüklerini
sıradanlaştırmak istediklerini gözlerimle gördüm. Dış dünyaya o kadar kapalı
oluşumlardı ki… Hepsi öyle değildi elbette. Daha sonra gittiğim yerlerin maddi
imkanları arttıkça baskı düzeyinin de azaldığını daha rahat ortamların olduğunu
da söylemeliyim. "
35,"Yaşadıklarımı hayatı boyunca ev ve aile ortamından
ayrılmamış, üniversiteyi bile kendi şehrinde okumuş eşimin anlamadığı gibi, sıcak
ortamını konfor alanını terk etmeyen kimsenin de tam olarak anlamayacağını
düşünüyorum. Sonraları avukatlık yaparken bazı Kuran kurslarında yaşanan taciz
vakıalarını, yıkılan kaçak yapıları, açlıktan gelişemeyen çocukları da duydum. Asıl
mesele, buralara çoluk çocuğu tıkıştırmak değil onların her birinin maddi,
manevi gelişimini sağlayabilmek, ruhlarına dokunabilmekti aslında ama neler
oldu."
36,"Keşke bizim gönlümüzü okşayarak bir şeyler
öğretilseydi, Annem bazen, “Burası dünya, böyle bir yer,” diyor. Burası dünya
dünya olmasına da bu kimseye körpecik zihniyetlere zulmetme hakkı vermemeli. Gönlüm
isterdi ki bu yerler, insanları ezen, kıran dev makinelere dönüşmeseydi,
gönüllerin alındığı, gönüllerin verildiği güzel medrese bahçeleri olsaydı… Çok
büyük bir istek olduğunu düşünmüyorum bunun. Hani bir Osmanlı ilahisinde
denildiği gibi gül alıp gül satılan o mekanlar olsun Kuran’ın okunduğu, adının
anıldığı yerler diyorum. Kuran deyince genç zihinlerin dimağına gül bahçeleri
gelsin istiyorum, aç yattıkları kursların bahçelerinde gezen kocaman et yiyen
böcekler değil. Geceleri hâlâ rüyama giriyor, kursumuzun bahçesindeki o kocaman
sinekler. Sadece onlar da değil, düşündükçe geliyor zihnime merdivenlere
oturmuş ezber yapmaya çalışan hafızlar, acemi-çaylak muhabbetleri, ranzalar,
ranzadan düşüp burnumu kırmam… Ben şanslıydım ki okumam gerektiğine karar
verip yoluma devam edebildim.  "
37,"“Gül alırlar, gül satarlar."
38,Gülden terazi tutarlar.
39,Gülü gül ile tartarlar.
40,Çarşı pazarı güldür gül.”
41,"Bunu yazan şair Nesimi’nin canlı canlı derisinin
yüzüldüğü gibi bu dediklerimi söyleyenlerin de muhafazakâr çevrede derileri
yüzülüp ateşlere verilmesi işten bile değildir. Zira biz defansif bir
medeniyetiz. Söylenen her eleştiri bizi bir adım öne taşımak yerine bize dış
güçlerin oyunudur. "
42,"Bunları yazarken Teoman’ın son röportajını dinlemeyen
varsa dinlesin isterim. Artık bizim de “diğerleri” dediklerimize adım atmamız
gerekiyor. “Sertlik ve güçlük ölümün arkadaşları değil midir?” [i]"
43,"İlk yazım böyle olsun istedim, daha sonra avukatlık
yaparken “başörtülü avukat” olarak maruz kaldıklarımı ve hanımefendi
mütedeyyin bir kız olarak maruz kaldığım görücü usulü görüşmelerle ilgili yazmak
istiyorum. Bu toplumun her kesiminde hikâye çok gördüğünüz gibi. Mevzu
diğerlerini de okuyabilmek, anlayabilmek ve adımlar atmak."
44,[i] Stalker filminden bir alıntı.
45,
46,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
47,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
48,Mevcut düzende büyükanneler sağlıkları müsaade etmemesine rağmen torunlarına bakmak durumundayken diğer yanda anneler herhangi bir destek göremediğinden çocuk bakımı için onlara muhtaç durumdalar. Çalışan kadınlara kreş...
49,Konuk Yazar: Gökçeli
50,"Bir süre önce ablamın bir bebeği oldu. Anneliğin sürekli bir bakım emeği olduğu kuşkusuz, ancak   bir bayrak yarışı gibi nesilden nesile devredildiğini ablam bebek sahibi olunca öğrendim. Aile için çok sevindirici olan bu gelişme, daha önce  gündemde olmayan ve benim de ilk kez deneyimlediğim yeni  sorunları beraberinde getirdi. Çalışma hayatına alışkın bir kadın olan ablamın yaklaşık iki ay kadar olan doğum izninden sonra işe geri döndüğünde bebeğine bakacak birini bulması şarttı.  Annem akla gelen ilk seçenek oldu. Ancak annem de ablam gibi çalışan bir kadın.  Annemin çalışmadığı bir senaryoda ablam annemden yine böyle bir talepte  bulunulabilir miydi?      "
51,"İşte bu noktada büyüdüğüm çevredeki tüm babaanne ve
 anneanneleri, tüm o kadınları düşündüm. Ben Akdeniz’e has köylerden birinde büyüdüm. Bahsettiğim köyler
 eğitimli insanların, aileleri ya da mevcut malvarlıkları nedeniyle terk
 etmediği ve yaşamaya devam ettiği köylerden biriydi. İşte o komşularımız olan
 o kadınların da kimisi iki, kimisi ise üç çocuk büyütmüş;    
  onların
 eğitimi, yemesi, içmesi derken ömürlerini böyle geçirmiş kadınlardı. Ve o zaman en azından genç ve
 sağlıklılardı… Çocuğu kucağında saatlerce
 uyutmaya çabalamak, yemek yemesi için aynı çabayı göstermek bir yandan da
 diğer gündelik işleri yapmak için vücutları onlara yardımcı oluyordu. Ancak
 insan yaş aldıkça vücudunun işlevleri değişiyor, belli başlı hastalıklar
 ortaya çıkıyor ve dahası dinlenme ihtiyacı artıyor. İşte bu kadınlar ne zaman bedenlerinin daha yorgun olduğu yaşlara geldiler, bu sefer de torunlarının  bakımı onlara devredildi. Bu devir teslim töreninde de o kadınların rızaları hiç sorulmadı. Sorulsaydı da ses
 etmezlerdi gerçi. Öyle ya torununa bakmayı nasıl istemez? Olacak iş değil. Tıpkı
 çocukları gibi, torunlarını büyütmeleri de
 beklendi.      "
52,"Hemen hepsi de gereğini yaptı, ben şahidim. Bize kahve
 içmeye geldiklerinde anneme ne kadar zorlandıklarını anlatırlardı. Bunu da
 biraz suçluluk duygusu ile mahcup biçimde söylerlerdi. Sanki şikayet etmek
 torunlarına olan sevgilerine gölge düşürecekmiş gibi. Zaten bu bakım emeğini
 sağlamasalardı, bu mahcubiyet açıkça yaşatılırdı onlara, buna da şahit
 oldum bazı bazı. Ben henüz ilkokuldayken bir gün yine bir komşumuz gelmişti
 kahveye. Pek keyfi
  yoktu biraz hal hatır sormadan, gündelik işlerden bahsetmeden sonra esas
  konuyu anlatmaya vardı dili. Oğlunun küçük kızına bakıyordu. Yeni emekli
  olmuştu ve emekli olur olmaz torunu bakım için ona verilmişti. Ama torunuyla
  birlikte hasta kocasına da bakıyordu. Hem küçük bir çocuğa hem de hasta bir
  insana bakmak, onların ihtiyaçlarını karşılamaya çalışmakta güçlük çekiyordu.
  O da bu duruma dayanamayıp oğluyla konuşmuş ama çok sert bir tepki almıştı.
  Anneme anlattığı kadarıyla, duyduğu sözler canını çok yakmıştı. Ağlamaya
  başladığı kalmış aklımda, bir de kalkıp ona peçete getirdiğim. Kötü bir anne-babaanne
  olduğu söylenmişti, canını da en çok bu yakmıştı. Çevreden başkaları örnek
  gösterilmiş “Bak falanca yıllardır bakıyor filanca yemeklerini bile eksik
  etmiyor, onlar bir şey diyor mu?” diye kıyaslanmış. Kıyaslanmak,
  karşılaştırılmak her zaman kötüdür. İki kişi ya da durumu karşılaştırabilmek
  için durum ve koşulların aynı olması gerekir. Hem o karşılaştırılan kadınlara
  sorsalar onlar ne derdi? Bunun da cevabi yok tabii. Bu karşılaştırmalardan
  sonra iyice değersiz hissetmiş kendini, kimse yaptıklarımı görmüyor diye
  ağladı ağladı gitti o gün. Annemle ben de dinledik, annem teselli etmeye
  çalıştı biraz ama nafile. Birkaç güzel söz belki yatıştırır insanı, ama esas
  olarak içinde yaşanılan koşulların değişme umuduna ihtiyaç duyar. Bir dost
  tesellisinden ziyade canını acıtan koşullara direnç görmek ister insan.
  Çocukluğumda da yetişkinliğimde de aynı ortamda bulunduğum, bir şeyler
  paylaştığım hemen her kadının gözlerinde gördüm o ihtiyaç, direnme ihtiyacı.   

  Bizim
 ailede de yukarıda anlattıklarım, hemen hemen anlattığım sıralamaya oldukça
 benzer gelişti. Hatta annemin işinden ayrılması, ablamın evine yerleşmesi için
 planlar yapıldı.
  Ablam kendine göre haklı nedenlerle ısrar ediyordu annemin bakım vermesi
  talebinde. Hem maddi hem manevi gerekçeleri vardı. Kreşler pahalı, onları
  karşılamak ayrı mesele, karşılayabildiklerine güvenmek ayrı mesele. Annem ise
  hiç istemiyordu ki. O işine devam etmek, belki biraz para biriktirip
  emekliliğinde o parayı değerlendirebilmek istiyordu. “Belki evi tamir ettirir
  ya da arabayı değiştiririm,” diyordu. Bu arada çalışıyor dediğime bakmayın,
  belinde üç fıtık, iş göremez denmesine rağmen çalışan bir kadın. Bebek
  bakımını zaten bu halde sağlaması çok zordu. 
  Ablam kendi gerekçeleriyle diretirken, aylar boyu anne kız
  çatışmalarına şahit oldum. En sonunda annem derdini anlattı, bakım vermeyi
  neden kabul edemeyeceğini açıkladı. Bebek önce bir bakıcıya sonra kreşe
  verildi. Maddi olarak da annemin desteği alındı. Bunlar sadece bizim ailede
  yaşananlardı…  "
53,"Bu hikâyenin binlercesi
  Türkiye’de ve hatta dünyanın birçok yerinde yaşanmaya devam ediyor. Çocuk
  üzerinden kadınlara dayatılan roller, kadınların yaşları ve statüleri
  değiştikçe kendine yeni alanlar açıyor. Böylece hemen her yaşta kadın
  ataerkinin kıskacında kalmaya devam ediyor. Kutsallaştırılmış annelik ile
  önce doğum yapan kadınlar bireysel kimliklerini kaybedip çocuğu ile bir bütün
  olduğu haline gelmiş  varsayılıyor.
  Anneanne ya da babaanne olan kadınlar da içinse  kutsal annelik bitmeden bu kez de kutsal
  nenelik çıkıp geliyor. Yeniden yıllar boyu vermiş oldukları bakım emeğini
  vermeleri, bunu itiraz etmeden tam bir görev bilinciyle yapmaları bekleniyor.
  Ve bu “torun sevgisi” adı altında meşru hale getiriliyor. Ancak her nasıl
  birinin ihtiyaçlarını gidermek sevmek anlamına gelmiyorsa, bir kişiye bakım emeği
  verecek güçte olmamak da sevmemek anlamına gelmiyor. Önce çocuklar, sonra
  torunlar ve hatta evde bakıma ihtiyaç duyan diğer yetişkinler derken dört
  duvar arasında sürekli hizmet veren konumunda bir hayat planlamasına itiraz
  bedava bakım emeğini reva gören ataerkinin bel bağladığı çarkın dişlilerinden
  sadece bir tanesi. Bir hayır desinler de görelim!  "
54,"Mevcut düzende büyükanneler sağlıkları müsaade etmemesine
  rağmen torunlarına bakmak durumundayken diğer yanda anneler herhangi bir
  destek göremediğinden çocuk bakımı için onlara muhtaç durumdalar. Çalışan
  kadınlara kreş desteği sağlanmıyor, kreşler denetlenmiyor. Oysa çocuk sayısı siyasete
  konu edinilirken, dünyaya gelen çocukların yaşamı ve gelişimi için ihtiyaç
  duyulan imkân ve koşullara hiç değinilmiyor. Bu bahsi geçen konularla ilgili
  acil politika geliştirilmesi gereken yerde mevcut ekonomik şartlardan dolayı çocukların
  bakımı için kreş/eğitim merkezlerinden bakım desteği sağlamak daha da zor bir
  hale geldi. Aile dışında birine bu taleple gitmek daha da güçleşiyor, bu tüm
  bu zorluklar yine ailedeki kadınların omuzlarına yükleniyor. Tabii kadınların
  aleyhindeki bu koşulların yarattığı tüm bu çatışmaları da yine kadınlar kendi
  aralarında çözüyor. Bu bir sorun olarak bile görülmediğinden dolayı
  dillendirilmiyor. "
55,"Tüm kriz anlarıyla ilk olarak kadınlar yüzleşmek zorunda
  kalıyor, mevcut zorlukların aşılması için hemen kadınların özgürlük alanının
  kısıtlanması yoluna gidilmesi ve sorumluluklarının artması bir problem olarak
  görülmüyor. Toplumsal cinsiyet rollerinin buyurdukları hemen her yaştaki
  kadının kucağına oturtuluyor. Buna karşı itiraz yolları ise bir hayli katı, sevgisizlikle,
  ilgisizlikle ya da daha ağır şiddet biçimleriyle karşılaşma tehditiyle başbaşa
  her yaştaki kadın. Bunun üstesinden gelmenin bir biçimi olarak komşu
  ziyaretleri, kendi aralarında yapılan sohbetler ön plana çıkıyor. Bunu da bir
  direniş biçimi olarak görmek mümkün mü? Kadınların kendi aralarındaki
  sohbetlerden bir hayat akıp gidiyor aslında, bakım emeğinin güçlükleri,
  yarıda kalmış hayalleri ve niceleri orda birbirine aktarılıp dile geliyor. Ve
  basitçe sorulan bir soru ile hiç tahmin edemeyeceğiniz cevaplara ulaşmak
  mümkün. Mesela tanıdığınız bir kadına şunu sorabilirsiniz, torununa bakacak
  kadar iyi hissediyor musun kendini? "
56,"“Şapka takmamak için direnen, hatta ölen insanlardan baş örtüsü takmak için mücadele eden insanlardan geldiğimiz nokta” yazmış biri, bir başkası ise “İlke ve inkılaplara uygundur,” demiş —güldürdü, yalan yok."
57,Günümüzde köy the new black olduğu için köye giden insan sayısı da artmaya başladı. Bunun sebebi köyde yapılacak bir işin kalmaması sanırım. Gerçekte köyde işler hiç bitmez ancak o işlerin yapılacağını buyuran...
58,Küçüklüğü Kuran kurslarında ve sohbet ortamlarında geçmiş biri olarak böyle yerlerde sürüden ayrı olarak var olmanın hiç de kolay olmadığını söylemeliyim.
59,Yazar: E.
60,"Çocukken en çok istediğim şeylerden biri süper gücümün olmasıydı. Bunu ‘özel’ olmak için değil de gerçekten güçlü olmak için istediğimi çok sonra anladım. Bu güç isteğinin analizini psikanalistlere bırakmak lazım belki de ama kendimle geçirdiğim yıllar bana kendimi, kardeşlerimi, hatta bazen de annemi koruma ihtiyacı duyduğum için böyle bir güç istediğimi düşündürttü. "
61,"Amazon Prime’ın yeni dizilerinden birini seyrediyorum bir süredir. The Power. Dizi, İngiliz Yazar Naomi Alderman’ın aynı isimli romanından uyarlama. Maalesef diziyi kitabı okumadan seyrettim, o yüzden bu yazı sadece dizide gördüklerimin bana düşündürttüklerini içeriyor. Kadınların hayatına değinen diziler, kadın yaşamını odak noktası haline getiren diziler ilgimizi çekiyor, malum. Dizide özellikle genç kadınların bir anda ellerinde, parmak uçlarında oluşan elektrik gücüne sahip olmaları anlatılıyor. Ya kadınların kendilerini koruyacak bir gücü olsaydı? Ya da ataerkil bu dünyada ya birden güçlü olan kadınlar olsaydı? Adaletsiz bir dünyada dengeyi sağlamanın mümkünatı gibi geliyor kulağa."
62,"Diziden kabaca bahsetmek gerekirse, bir anda dünyanın farklı yerlerinde genç kadınlar özel bir güce sahip oluyorlar. Bu güce sahip olan kadınlardan birinin annesi bir politikacı, babası ise bir doktor. Kızlarının vücudunda bir anda gelişen bu elektriğin kaynağını öğrenmek istiyorlar çünkü bir anda bu kızlar okulda ‘tehlikeli’ oluyor. Birkaç inceleme sonucunda aile kızlarının vücutlarının değiştiğini, artık yeni bir organı olduğunu, hatta  dünyanın pek çok yerindeki kadınların vücudunda da aynı durumun gözlemlendiğini, bu sayede kadınların elektrik gücünü ürettiğini öğreniyorlar. Anne, baba ve doktorun arasında geçen bir diyalogda anne, “Bunu biz yaptık,” diyor. Kendini güvende hissetmeyen kadınların vücutları isyan ediyor ve dönüşüyor. Bu aslında özellikle kadınların anlayacağı bir korunma, güvende kalma ihtiyacının kurgusal bir tezahürü."
